Time,Dir,Entry,Exit,Pips,USD,Level,Reason
2026.06.25 00:15,BUY,0.69037,0,0,0,9,PivotLow_Green
2026.06.25 06:00,BUY,0.68943,0,0,0,8,PivotLow_Green
2026.06.25 13:00,BUY,0.69003,0,0,0,8,PivotLow_Green
2026.06.25 16:00,SELL,0.69052,0,0,0,8,PivotHigh_Red
2026.06.25 17:30,SELL,0.69013,0,0,0,8,PivotHigh_Red
2026.06.25 18:45,SELL,0.69159,0,0,0,8,PivotHigh_Red
2026.06.26 05:45,BUY,0.68839,0,0,0,8,PivotLow_Green
2026.06.26 11:15,BUY,0.68962,0,0,0,8,PivotLow_Green
2026.06.26 18:15,BUY,0.69023,0,0,0,9,PivotLow_Green
2026.06.29 00:15,BUY,0.68937,0,0,0,9,PivotLow_Green
2026.06.29 17:30,BUY,0.68833,0,0,0,8,PivotLow_Green
